__CardsToDelete,"CreditCard_Key INT NOT NULL "
_CH022850StatementFixes,"LOAN_KEY INT NOT NULL ,CUSTOMER_KEY INT NOT NULL ,LOCATION smallint NOT NULL ,PRODUCT_TYPE CHAR(8000) NOT NULL COLLATE ""en-ci"",LOAN_TYPE CHAR(8000) NOT NULL COLLATE ""en-ci"",NEXT_STATEMENT_DATE DATE NOT NULL ,LAST_STATEMENT_DATE DATE NULL ,PAY_CYCLE CHAR(8000) NOT NULL COLLATE ""en-ci"",PAY_CYCLE_DAY SMALLINT NOT NULL ,ADJUSTED_DUE_DATE TIMESTAMP_LTZ NOT NULL ,LAST_PAYMENT_AMT NUMBER(10,4) NOT NULL ,LAST_PAYMENT_DATE DATE NULL ,LAST_CAB_FEE_AMT NUMBER(10,4) NULL ,LAST_CAB_FEE_DATE DATE NULL ,LAST_STATEMENT_CURR_DUE_DATE TIMESTAMP_LTZ NULL ,LAST_LAST_STATEMENT_CURR_DUE_DATE TIMESTAMP_LTZ NULL ,LAST_LAST_LAST_STATEMENT_CURR_DUE_DATE TIMESTAMP_LTZ NULL ,LAST_LAST_LAST_LAST_STATEMENT_CURR_DUE_DATE TIMESTAMP_LTZ NULL ,TRANS_DETAIL_KEY INT NULL ,LOAN_PAYMENT_KEY INT NULL ,OPEN_END_LOAN_STMT_KEY INT NULL ,OPEN_END_LOAN_STATEMENT_SNAPSHOT_KEY INT NULL ,NEW_LAST_STATEMENT_DATE DATE NULL ,NEW_ADJUSTED_DUE_DATE DATE NULL ,NEW_NEXT_STATEMENT_DATE DATE NULL ,NEW_NEXT_DUE_DATE DATE NULL "
_CH035718_DOCLOST,"LOAN_KEY INT NOT NULL "
_CH035718_DWDOCID,"LOAN_KEY INT NOT NULL "
_CH039338_PendingReason,"PENDING_REASON_KEY INT NOT NULL ,PRIORITY INT NOT NULL ,USER_CAN_ADD BOOLEAN NOT NULL ,USER_CAN_RESOLVE BOOLEAN NOT NULL "
_CH040985_CSV_Data_For_NOOA,"EMAIL_ADDRESS VARCHAR(8000) NULL COLLATE ""en-ci"",CUSTOMER_NAME VARCHAR(8000) NULL COLLATE ""en-ci"",FIRST_NAME VARCHAR(8000) NULL COLLATE ""en-ci"",LAST_NAME VARCHAR(8000) NULL COLLATE ""en-ci"",VISITOR_KEY INT NULL ,CUSTOMER_KEY INT NULL ,LOAN_APPLICATION_KEY INT NULL ,BUSINESS_STATE CHAR(8000) NULL COLLATE ""en-ci"",PHONE VARCHAR(8000) NULL COLLATE ""en-ci"",APPLICATION_DATE datetime NULL ,PRIMARY_SCORE_DATE datetime NULL ,REASON_DENIED VARCHAR(8000) NULL COLLATE ""en-ci"",CREDIT_SCORE VARCHAR(8000) NULL COLLATE ""en-ci"",CREDIT_SCORE_RECEIVED CHAR(8000) NULL COLLATE ""en-ci"",CREDIT_SCORE_VENDOR_NAME VARCHAR(8000) NULL COLLATE ""en-ci"",CREDIT_SCORE_BEGIN_RANGE INT NULL ,CREDIT_SCORE_END_RANGE INT NULL ,NOTICE_DATE datetime NULL ,CONTACT_NAME1 VARCHAR(8000) NULL COLLATE ""en-ci"",AGENCY_ADDRESS1 VARCHAR(8000) NULL COLLATE ""en-ci"",AGENCY_CITY1 VARCHAR(8000) NULL COLLATE ""en-ci"",AGENCY_STATE1 CHAR(8000) NULL COLLATE ""en-ci"",AGENCY_ZIP1 VARCHAR(8000) NULL COLLATE ""en-ci"",AGENCY_PHONE1 VARCHAR(8000) NULL COLLATE ""en-ci"",CRA_USED CHAR(8000) NULL COLLATE ""en-ci"",CONTACT_NAME2 VARCHAR(8000) NULL COLLATE ""en-ci"",AGENCY_ADDRESS2 VARCHAR(8000) NULL COLLATE ""en-ci"",AGENCY_CITY2 VARCHAR(8000) NULL COLLATE ""en-ci"",AGENCY_STATE2 CHAR(8000) NULL COLLATE ""en-ci"",AGENCY_ZIP2 VARCHAR(8000) NULL COLLATE ""en-ci"",AGENCY_PHONE2 VARCHAR(8000) NULL COLLATE ""en-ci"",CONTACT_NAME3 VARCHAR(8000) NULL COLLATE ""en-ci"",AGENCY_ADDRESS3 VARCHAR(8000) NULL COLLATE ""en-ci"",AGENCY_CITY3 VARCHAR(8000) NULL COLLATE ""en-ci"",AGENCY_STATE3 CHAR(8000) NULL COLLATE ""en-ci"",AGENCY_ZIP3 VARCHAR(8000) NULL COLLATE ""en-ci"",AGENCY_PHONE3 VARCHAR(8000) NULL COLLATE ""en-ci"",EQUIFAX_REASON1 VARCHAR(8000) NULL COLLATE ""en-ci"",EQUIFAX_REASON2 VARCHAR(8000) NULL COLLATE ""en-ci"",EQUIFAX_REASON3 VARCHAR(8000) NULL COLLATE ""en-ci"",EQUIFAX_REASON4 VARCHAR(8000) NULL COLLATE ""en-ci"",SRC_REASON1 VARCHAR(8000) NULL COLLATE ""en-ci"",SRC_REASON2 VARCHAR(8000) NULL COLLATE ""en-ci"",NON_CRA_CONTACT_NAME1 VARCHAR(8000) NULL COLLATE ""en-ci"",AGENCY_ADDRESS4 VARCHAR(8000) NULL COLLATE ""en-ci"",AGENCY_CITY4 VARCHAR(8000) NULL COLLATE ""en-ci"",AGENCY_STATE4 CHAR(8000) NULL COLLATE ""en-ci"",AGENCY_ZIP4 VARCHAR(8000) NULL COLLATE ""en-ci"",AGENCY_PHONE4 VARCHAR(8000) NULL COLLATE ""en-ci"",NON_CRA_RESULTS CHAR(8000) NULL COLLATE ""en-ci"""
_CH040985_MissingEquifaxReasons,"MISSING_EQUIFAX_REASONS_KEY INT NOT NULL ,AGENCY_DATA_KEY INT NULL ,AGENCY_MASTER_KEY smallint NULL ,SCORE_SUMMARY_KEY INT NULL ,CUSTOMER_KEY INT NULL ,LOAN_APPLICATION_KEY INT NULL ,REASON_CODE VARCHAR(8000) NULL COLLATE ""en-ci"",REASON VARCHAR(8000) NULL COLLATE ""en-ci"",DATE_ENTERED datetime NULL ,CREDIT_SCORE_BEGIN_RANGE INT NULL ,CREDIT_SCORE_END_RANGE INT NULL ,CREDIT_SCORE INT NULL ,ADDRESS_CONSUMER_CONTACT_NAME VARCHAR(8000) NULL COLLATE ""en-ci"",REASON_DESCRIPTIONS_INSERTED BOOLEAN NOT NULL ,CSV_DATA_CREATED BOOLEAN NOT NULL "
_CollectionsDebtRecall,"RISREPT_KEY INT NOT NULL "
_DsExclude,"LOCATION smallint NOT NULL ,CUSTOMER_KEY INT NOT NULL ,LOAN_KEY INT NOT NULL ,RISREPT_KEY INT NOT NULL ,REFERENCE VARCHAR(8000) NULL COLLATE ""en-ci"""
_Dup_CustomerIdentificationRecords,"CUSTOMER_IDENTIFICATION_KEY INT NOT NULL ,CUSTOMER_KEY INT NULL ,IDENTIFICATION_TYPE_KEY INT NULL ,ID_NUMBER VARCHAR(8000) NULL COLLATE ""en-ci"",ID_SOURCE VARCHAR(8000) NULL COLLATE ""en-ci"",CUST_ID_COUNTRY CHAR(8000) NULL COLLATE ""en-ci"",CUST_ID_STATE CHAR(8000) NULL COLLATE ""en-ci"",EXPIRATION_DATE DATE NULL ,VERIFIED_OTHER VARCHAR(8000) NULL COLLATE ""en-ci"",IS_ACTIVE BOOLEAN NULL ,DATE_ENTERED datetime NULL ,TELLER CHAR(8000) NULL COLLATE ""en-ci"",IDENTIFICATION_TYPE_VERIFY_KEY INT NULL "
_FormLetterOnDemand_200103,"FORM_LETTER_ON_DEMAND_KEY INT NOT NULL ,FORM_LETTER_KEY INT NOT NULL ,FORM_LETTER_BATCH_KEY INT NULL ,LOAN_KEY INT NULL ,DATE_ENTERED TIMESTAMP_LTZ NOT NULL ,TELLER CHAR(8000) NOT NULL COLLATE ""en-ci"",PROMPT_DATA_1 VARCHAR(8000) NOT NULL COLLATE ""en-ci"",PROMPT_DATA_2 VARCHAR(8000) NOT NULL COLLATE ""en-ci"",PROMPT_DATA_3 VARCHAR(8000) NOT NULL COLLATE ""en-ci"",PROMPT_DATA_4 VARCHAR(8000) NOT NULL COLLATE ""en-ci"",PROMPT_DATA_5 VARCHAR(8000) NOT NULL COLLATE ""en-ci"",CASHED_CHECK_KEY INT NULL "
_formLetterOnDemand_Delete_201003,"form_letter_on_demand_key INT NOT NULL "
_FormLetterPrinted_200103,"FORM_LETTER_PRINTED_KEY INT NOT NULL ,FORM_LETTER_KEY INT NOT NULL ,CUSTOMER_KEY INT NOT NULL ,CUSTOMER_ADDRESS_KEY INT NULL ,FORM_LETTER_BATCH_KEY INT NOT NULL ,FORM_LETTER_ON_DEMAND_KEY INT NULL ,LOAN_KEY INT NULL ,PROMISE_TO_PAY_DETAIL_KEY INT NULL ,FORM_LETTER_RESULT_FILE_TYPE SMALLINT NOT NULL ,VENDOR_DATE_PRINTED TIMESTAMP_LTZ NULL ,VENDOR_JOB_CODE VARCHAR(8000) NULL COLLATE ""en-ci"",PROCESSING_STATE_KEY SMALLINT NULL ,CASHED_CHECK_KEY INT NULL ,DWDOCID INT NULL ,RISREPT_KEY INT NULL ,DOCUWARE_CABINET_KEY INT NULL "
_FormLetterResult_200103,"FORM_LETTER_RESULT_KEY INT NOT NULL ,FORM_LETTER_PRINTED_KEY INT NOT NULL ,FORM_LETTER_BATCH_KEY INT NOT NULL ,CUSTOMER_KEY INT NOT NULL ,CUSTOMER_ADDRESS_KEY INT NULL ,FORM_LETTER_RESULT_FILE_TYPE SMALLINT NOT NULL ,FORM_LETTER_RESULT_ERROR_CODE VARCHAR(8000) NOT NULL COLLATE ""en-ci"",FORM_LETTER_RESULT_FFWD_CODE CHAR(8000) NOT NULL COLLATE ""en-ci"",FORM_LETTER_RESULT_DPV_CODE CHAR(8000) NOT NULL COLLATE ""en-ci"",FORM_LETTER_RESULT_RET_CODE CHAR(8000) NOT NULL COLLATE ""en-ci"",MAILING_SVC_JOB_NUM VARCHAR(8000) NOT NULL COLLATE ""en-ci"""
_IN594077_RIFees,"loan_key INT NOT NULL ,ORIGINAL_RI_FEE_PER_DEFAULT NUMBER(10,4) NOT NULL "
_IN600631,"LOAN_KEY INT NOT NULL "
_IN600631Test,"LOAN_KEY INT NOT NULL "
_IssuerBankAccount,"ISSUER_KEY INT NOT NULL ,BANK_ACCOUNT_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",BANK_ROUTING_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"""
_NextStatementFixes,"LOAN_KEY INT NOT NULL ,CUSTOMER_KEY INT NOT NULL ,LOCATION smallint NOT NULL ,PRODUCT_TYPE CHAR(8000) NOT NULL COLLATE ""en-ci"",LOAN_TYPE CHAR(8000) NOT NULL COLLATE ""en-ci"",NEXT_STATEMENT_DATE DATE NOT NULL ,LAST_STATEMENT_DATE DATE NULL ,PAY_CYCLE CHAR(8000) NOT NULL COLLATE ""en-ci"",PAY_CYCLE_DAY SMALLINT NOT NULL ,ADJUSTED_DUE_DATE TIMESTAMP_LTZ NOT NULL ,LAST_PAYMENT_AMT NUMBER(10,4) NOT NULL ,LAST_PAYMENT_DATE DATE NULL ,LAST_CAB_FEE_AMT NUMBER(10,4) NULL ,LAST_CAB_FEE_DATE DATE NULL ,LAST_STATEMENT_CURR_DUE_DATE TIMESTAMP_LTZ NULL ,LAST_LAST_STATEMENT_CURR_DUE_DATE TIMESTAMP_LTZ NULL ,LAST_LAST_LAST_STATEMENT_CURR_DUE_DATE TIMESTAMP_LTZ NULL ,LAST_LAST_LAST_LAST_STATEMENT_CURR_DUE_DATE TIMESTAMP_LTZ NULL ,TRANS_DETAIL_KEY INT NULL ,LOAN_PAYMENT_KEY INT NULL ,OPEN_END_LOAN_STMT_KEY INT NULL ,OPEN_END_LOAN_STATEMENT_SNAPSHOT_KEY INT NULL "
_OELoansOutOfBalance,"LOAN_KEY INT NOT NULL ,LOAN_DATE datetime NOT NULL ,DATE_ADDED datetime NOT NULL ,DATE_REMOVED datetime NULL "
_RCC2022aaspeedy,"CLIENT_ID VARCHAR(8000) NOT NULL COLLATE ""en-ci"",SEND_DATE VARCHAR(8000) NULL COLLATE ""en-ci"",PAY_CYCLE VARCHAR(8000) NULL COLLATE ""en-ci"",PAY_TO VARCHAR(8000) NOT NULL COLLATE ""en-ci"",PAYMENT_AMT NUMBER(10,4) NOT NULL ,LOAN_KEY INT NOT NULL ,LOCATION smallint NOT NULL ,BANK_ROUTING_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",BANK_ACCOUNT_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",FIRSTNAME VARCHAR(8000) NULL COLLATE ""en-ci"",LASTNAME VARCHAR(8000) NULL COLLATE ""en-ci"",CUSTOMER_KEY INT NOT NULL ,RISREPT_KEY INT NOT NULL ,REFERENCE VARCHAR(8000) NULL COLLATE ""en-ci"",REJECTED INT NOT NULL ,PROCESSED INT NOT NULL "
_RCC2022AdAstra,"CLIENT_ID VARCHAR(8000) NOT NULL COLLATE ""en-ci"",SEND_DATE VARCHAR(8000) NULL COLLATE ""en-ci"",PAY_CYCLE VARCHAR(8000) NULL COLLATE ""en-ci"",PAY_TO VARCHAR(8000) NOT NULL COLLATE ""en-ci"",PAYMENT_AMT NUMBER(10,4) NOT NULL ,LOAN_KEY INT NOT NULL ,LOCATION smallint NOT NULL ,BANK_ROUTING_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",BANK_ACCOUNT_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",FIRSTNAME VARCHAR(8000) NULL COLLATE ""en-ci"",LASTNAME VARCHAR(8000) NULL COLLATE ""en-ci"",CUSTOMER_KEY INT NOT NULL ,RISREPT_KEY INT NOT NULL ,REFERENCE VARCHAR(8000) NULL COLLATE ""en-ci"",REJECTED INT NOT NULL ,PROCESSED INT NOT NULL "
_RCC2022AdAstraDryRun,"CLIENT_ID VARCHAR(8000) NOT NULL COLLATE ""en-ci"",SEND_DATE VARCHAR(8000) NULL COLLATE ""en-ci"",PAY_CYCLE VARCHAR(8000) NULL COLLATE ""en-ci"",PAY_TO VARCHAR(8000) NOT NULL COLLATE ""en-ci"",PAYMENT_AMT NUMERIC NOT NULL ,LOAN_KEY INT NOT NULL ,LOCATION smallint NOT NULL ,BANK_ROUTING_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",BANK_ACCOUNT_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",FIRSTNAME VARCHAR(8000) NULL COLLATE ""en-ci"",LASTNAME VARCHAR(8000) NULL COLLATE ""en-ci"",CUSTOMER_KEY INT NOT NULL ,RISREPT_KEY INT NOT NULL ,REFERENCE VARCHAR(8000) NULL COLLATE ""en-ci"",REJECTED INT NOT NULL ,PROCESSED INT NOT NULL "
_RCC2022NonAdAstra,"CLIENT_ID VARCHAR(8000) NOT NULL COLLATE ""en-ci"",SEND_DATE VARCHAR(8000) NULL COLLATE ""en-ci"",PAY_CYCLE VARCHAR(8000) NULL COLLATE ""en-ci"",PAY_TO VARCHAR(8000) NOT NULL COLLATE ""en-ci"",PAYMENT_AMT NUMBER(10,4) NOT NULL ,LOAN_KEY INT NOT NULL ,LOCATION smallint NOT NULL ,BANK_ROUTING_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",BANK_ACCOUNT_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",FIRSTNAME VARCHAR(8000) NULL COLLATE ""en-ci"",LASTNAME VARCHAR(8000) NULL COLLATE ""en-ci"",CUSTOMER_KEY INT NOT NULL ,RISREPT_KEY INT NOT NULL ,REFERENCE VARCHAR(8000) NULL COLLATE ""en-ci"",REJECTED INT NOT NULL ,PROCESSED INT NOT NULL "
_RCC2022NonAdAstraDryRun,"CLIENT_ID VARCHAR(8000) NOT NULL COLLATE ""en-ci"",SEND_DATE VARCHAR(8000) NULL COLLATE ""en-ci"",PAY_CYCLE VARCHAR(8000) NULL COLLATE ""en-ci"",PAY_TO VARCHAR(8000) NOT NULL COLLATE ""en-ci"",PAYMENT_AMT NUMERIC NOT NULL ,LOAN_KEY INT NOT NULL ,LOCATION smallint NOT NULL ,BANK_ROUTING_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",BANK_ACCOUNT_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",FIRSTNAME VARCHAR(8000) NULL COLLATE ""en-ci"",LASTNAME VARCHAR(8000) NULL COLLATE ""en-ci"",CUSTOMER_KEY INT NOT NULL ,RISREPT_KEY INT NOT NULL ,REFERENCE VARCHAR(8000) NULL COLLATE ""en-ci"",REJECTED INT NOT NULL ,PROCESSED INT NOT NULL "
_RCC2022srconly,"CLIENT_ID VARCHAR(8000) NOT NULL COLLATE ""en-ci"",SEND_DATE VARCHAR(8000) NULL COLLATE ""en-ci"",PAY_CYCLE VARCHAR(8000) NULL COLLATE ""en-ci"",PAY_TO VARCHAR(8000) NOT NULL COLLATE ""en-ci"",PAYMENT_AMT NUMBER(10,4) NOT NULL ,LOAN_KEY INT NOT NULL ,LOCATION smallint NOT NULL ,BANK_ROUTING_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",BANK_ACCOUNT_NUMBER VARCHAR(8000) NOT NULL COLLATE ""en-ci"",FIRSTNAME VARCHAR(8000) NULL COLLATE ""en-ci"",LASTNAME VARCHAR(8000) NULL COLLATE ""en-ci"",CUSTOMER_KEY INT NOT NULL ,RISREPT_KEY INT NOT NULL ,REFERENCE VARCHAR(8000) NULL COLLATE ""en-ci"",REJECTED INT NOT NULL ,PROCESSED INT NOT NULL "
_RISREPTCollectionsDebtRecall,"DATE TIMESTAMP_LTZ NOT NULL ,TLR CHAR(8000) NOT NULL COLLATE ""en-ci"",LOCATION smallint NOT NULL ,AMOUNT NUMBER(10,4) NULL ,SURCHG NUMBER(10,4) NOT NULL ,FOLLOWUP TIMESTAMP_LTZ NULL ,CUSTOMER_KEY INT NOT NULL ,ISSUER_KEY INT NOT NULL ,MANUAL_ACH_DATE TIMESTAMP_LTZ NULL ,MANUAL_TELLER CHAR(8000) NULL COLLATE ""en-ci"",RISREPT_KEY INT NOT NULL ,LOAN_KEY INT NULL ,RI_BALANCE NUMBER(10,4) NOT NULL ,PRA SMALLINT NOT NULL ,ris_type_id INT NOT NULL ,Ris_Audit_ID INT NULL ,STOP_PAYMENT BOOLEAN NOT NULL ,reversed BOOLEAN NOT NULL ,reversed_date TIMESTAMP_LTZ NULL ,CASHED_CHECK_KEY INT NULL ,DOS_REFNO INT NULL ,DOS_MIGRATED_ID VARCHAR(8000) NULL COLLATE ""en-ci"",MANUAL_ACH_AMOUNT NUMBER(10,4) NULL ,MANUAL_ACH_PTP INT NULL ,LAST_CALL_DATE TIMESTAMP_LTZ NULL ,LAST_CALL_HOST_CODE smallint NULL ,REFERENCE VARCHAR(8000) NULL COLLATE ""en-ci"",RISK_ASSESSMENT SMALLINT NOT NULL ,COLLECTION_AGENCY_KEY INT NOT NULL ,ASSIGNMENT_NUMBER INT NOT NULL ,CR_TELLER CHAR(8000) NOT NULL COLLATE ""en-ci"",REASON_FOR_ARREARS_KEY INT NOT NULL ,LAST_DCARD_ATTEMPT_DATE TIMESTAMP_LTZ NULL ,RI_URGENT_NOTE_KEY INT NOT NULL ,KEEP_WITH_AGENCY BOOLEAN NOT NULL ,AD_ASTRA_ASSIGNED_DATE DATE NULL ,COLLECTIONS_RISK_SCORE smallint NOT NULL "
_ScheduledPrimaryCardManualFixes,"LOAN_KEY INT NOT NULL ,CUSTOMER_KEY INT NOT NULL ,DOCUWARE_CABINET_KEY INT NOT NULL ,DOCUWARE_ID_KEY INT NOT NULL ,DWDOCID INT NOT NULL ,ADJUSTED_DUE_DATE datetime NOT NULL ,SELECTED_SCHED_PRIMARY_CARD_LAST_FOUR smallint NULL ,IS_MANUALLY_PROCESSED BOOLEAN NOT NULL ,IS_SYSTEM_PROCESSED BOOLEAN NOT NULL "
_tmpACHProcessingQueue,"DeleteText VARCHAR(8000) NULL COLLATE ""en-ci"",ACH_PROCESSING_QUEUE_KEY INT NOT NULL ,LOCATION INT NOT NULL ,LOAN_KEY INT NOT NULL ,ACH_AMOUNT NUMBER(19,4) NOT NULL ,DUE_DATE DATE NOT NULL ,ACH_ATTEMPT SMALLINT NOT NULL ,MANUAL_SEND_DATE TIMESTAMP_LTZ NULL ,MANUAL_TELLER CHAR(8000) NULL COLLATE ""en-ci"",ABA_NO VARCHAR(8000) NOT NULL COLLATE ""en-ci"",BANK_NO VARCHAR(8000) NOT NULL COLLATE ""en-ci"",IS_SCHEDULED_PAYMENT BOOLEAN NOT NULL ,IS_AD_ASTRA BOOLEAN NOT NULL ,IS_ACH_PAID BOOLEAN NOT NULL ,JOB_ID INT NULL ,ACH_REASON_CODE smallint NULL ,OPTPLUS_CARD_DETAIL_KEY INT NULL ,STATEMENT_ID VARCHAR(8000) NULL COLLATE ""en-ci"",PRINC_AMT_FOR_INTEREST_CREDIT NUMBER(10,4) NOT NULL ,FEES_AMT_FOR_INTEREST_CREDIT NUMBER(10,4) NOT NULL ,INTEREST_DUE_CAP NUMBER(10,4) NOT NULL ,CAB_INTEREST_DUE_CAP NUMBER(10,4) NOT NULL ,ACH_BANK_KEY INT NOT NULL ,GRAD_NUMBER VARCHAR(8000) NULL COLLATE ""en-ci"",ACH_PROCESSING_TYPE_KEY INT NOT NULL ,ACH_SENT_PARENT_KEY INT NULL ,RUN_MASTER_KEY INT NOT NULL ,SCHED_ROLLOVER_KEY INT NULL ,ACH_PRESENTMENT_KEY INT NULL ,LOAN_FEE_DUE_CAP NUMBER(10,4) NOT NULL ,IS_RETRY_PAYMENT BOOLEAN NULL ,IS_RCC_PAYMENT BOOLEAN NULL ,INSURANCE_DUE_CAP NUMBER(10,4) NOT NULL "
_tmpFundingMethod,"FUNDING_METHOD_KEY smallint NOT NULL ,DESCRIPTION VARCHAR(8000) NOT NULL COLLATE ""en-ci"",NEW_CUSTOMER_HOLD_MINUTES smallint NOT NULL "
_tmpLocationFundingMethod,"LOCATION smallint NOT NULL ,APPLY_ORDER SMALLINT NOT NULL ,FUNDING_METHOD_KEY smallint NOT NULL "
_VirginiaDateFixes,"LOAN_KEY INT NOT NULL ,IS_UPDATED BOOLEAN NOT NULL ,DATE_PROCESSED datetime NOT NULL ,CUSTOMER_PAY_CYCLE CHAR(8000) NOT NULL COLLATE ""en-ci"",CUSTOMER_PAY_CYCLE_DAY SMALLINT NOT NULL ,CUSTOMER_PAY_CYCLE_1ST SMALLINT NOT NULL ,CUSTOMER_PAY_CYCLE_2ND SMALLINT NOT NULL ,OPEN_END_LOAN_CYCLE_1ST SMALLINT NOT NULL ,ORIG_DUE_DATE DATE NOT NULL ,NEXT_STATEMENT_DATE DATE NOT NULL ,NEXT_DUE_DATE DATE NOT NULL ,BIWEEK_BASE_DATE DATE NULL ,ORIG_DUE_DATE_SHOULD_BE DATE NULL ,NEXT_STATEMENT_DATE_SHOULD_BE DATE NULL ,NEXT_DUE_DATE_SHOULD_BE DATE NULL ,BIWEEK_BASE_DATE_SHOULD_BE DATE NULL ,OPEN_END_LOAN_CYCLE_1ST_SHOULD_BE SMALLINT NULL "
AACbExportDataArchive,"ID INT NOT NULL ,AccountType INT NOT NULL ,AccountStatus VARCHAR(8000) NULL COLLATE ""en-ci"",DateOfLoss CHAR(8000) NULL COLLATE ""en-ci"",InputDate CHAR(8000) NULL COLLATE ""en-ci"",Creditor VARCHAR(8000) NULL COLLATE ""en-ci"",CreditorClassification INT NOT NULL ,ECOA INT NOT NULL ,PortfolioType VARCHAR(8000) NOT NULL COLLATE ""en-ci"",AmountPastDue NUMBER(10,4) NOT NULL ,AmountDue NUMBER(10,4) NOT NULL ,HighestCredit NUMBER(19,4) NULL ,LastPaymentDate CHAR(8000) NOT NULL COLLATE ""en-ci"",TermsDuration VARCHAR(8000) NOT NULL COLLATE ""en-ci"",ComplianceConditionCode CHAR(8000) NULL COLLATE ""en-ci"",FirstName VARCHAR(8000) NULL COLLATE ""en-ci"",MiddleName VARCHAR(8000) NULL COLLATE ""en-ci"",LastName VARCHAR(8000) NULL COLLATE ""en-ci"",GenerationCode CHAR(8000) NULL COLLATE ""en-ci"",Street1 VARCHAR(8000) NULL COLLATE ""en-ci"",Street2 INT NULL ,City VARCHAR(8000) NOT NULL COLLATE ""en-ci"",State CHAR(8000) NOT NULL COLLATE ""en-ci"",Zip VARCHAR(8000) NOT NULL COLLATE ""en-ci"",Country VARCHAR(8000) NOT NULL COLLATE ""en-ci"",Telephone VARCHAR(8000) NOT NULL COLLATE ""en-ci"",SSN VARCHAR(8000) NULL COLLATE ""en-ci"",DOB CHAR(8000) NULL COLLATE ""en-ci"",DateClosed VARCHAR(8000) NULL COLLATE ""en-ci"",EXPORT_DATE datetime NOT NULL ,CII VARCHAR(8000) NULL COLLATE ""en-ci"""
ABLFacility,"ABL_FACILITY_KEY INT NOT NULL ,COMPANY_BANK_ACCOUNT_KEY INT NOT NULL ,NAME VARCHAR(8000) NOT NULL COLLATE ""en-ci"""
